Asteroid ID,Asteroid name,The Minimal estimated diameter in Kilometre,Absolute_magnitude,Relative_velocity(km/s)
2000433,433 Eros (A898 PA),"{'kilometers': {'estimated_diameter_min': 22.0067027115, 'estimated_diameter_max': 49.2084832235}, 'meters': {'estimated_diameter_min': 22006.7027114738, 'estimated_diameter_max': 49208.4832234845}, 'miles': {'estimated_diameter_min': 13.6743268705, 'estimated_diameter_max': 30.5767244291}, 'feet': {'estimated_diameter_min': 72200.4705239119, 'estimated_diameter_max': 161445.1600989368}}",10.41,433
2000719,719 Albert (A911 TB),"{'kilometers': {'estimated_diameter_min': 2.0256060086, 'estimated_diameter_max': 4.529392731}, 'meters': {'estimated_diameter_min': 2025.6060086475, 'estimated_diameter_max': 4529.3927309679}, 'miles': {'estimated_diameter_min': 1.2586528312, 'estimated_diameter_max': 2.8144332906}, 'feet': {'estimated_diameter_min': 6645.6892174112, 'estimated_diameter_max': 14860.2128474689}}",15.59,719
2000887,887 Alinda (A918 AA),"{'kilometers': {'estimated_diameter_min': 4.53476699, 'estimated_diameter_max': 10.1400472517}, 'meters': {'estimated_diameter_min': 4534.7669899703, 'estimated_diameter_max': 10140.0472516957}, 'miles': {'estimated_diameter_min': 2.8177726993, 'estimated_diameter_max': 6.3007313008}, 'feet': {'estimated_diameter_min': 14877.8449313742, 'estimated_diameter_max': 33267.8726252533}}",13.84,887
2001036,1036 Ganymed (A924 UB),"{'kilometers': {'estimated_diameter_min': 38.4197891064, 'estimated_diameter_max': 85.9092601232}, 'meters': {'estimated_diameter_min': 38419.7891064268, 'estimated_diameter_max': 85909.2601231761}, 'miles': {'estimated_diameter_min': 23.8729427768, 'estimated_diameter_max': 53.381522872}, 'feet': {'estimated_diameter_min': 126049.1808919292, 'estimated_diameter_max': 281854.5369825212}}",9.2,1036
2001221,1221 Amor (1932 EA1),"{'kilometers': {'estimated_diameter_min': 0.8882904164, 'estimated_diameter_max': 1.9862777548}, 'meters': {'estimated_diameter_min': 888.2904163894, 'estimated_diameter_max': 1986.2777548083}, 'miles': {'estimated_diameter_min': 0.5519579043, 'estimated_diameter_max': 1.2342153948}, 'feet': {'estimated_diameter_min': 2914.338729707, 'estimated_diameter_max': 6516.6595090853}}",17.38,1221
2001566,1566 Icarus (1949 MA),"{'kilometers': {'estimated_diameter_min': 1.3018321019, 'estimated_diameter_max': 2.9109850751}, 'meters': {'estimated_diameter_min': 1301.8321018813, 'estimated_diameter_max': 2910.9850750981}, 'miles': {'estimated_diameter_min': 0.808920715, 'estimated_diameter_max': 1.8088017071}, 'feet': {'estimated_diameter_min': 4271.1028331363, 'estimated_diameter_max': 9550.4762737848}}",16.55,1566
2001580,1580 Betulia (1950 KA),"{'kilometers': {'estimated_diameter_min': 3.0800302127, 'estimated_diameter_max': 6.8871569283}, 'meters': {'estimated_diameter_min': 3080.0302126603, 'estimated_diameter_max': 6887.1569282616}, 'miles': {'estimated_diameter_min': 1.9138414533, 'estimated_diameter_max': 4.2794795877}, 'feet': {'estimated_diameter_min': 10105.0863229045, 'estimated_diameter_max': 22595.6599365179}}",14.68,1580
2001620,1620 Geographos (1951 RA),"{'kilometers': {'estimated_diameter_min': 2.3472263753, 'estimated_diameter_max': 5.2485577338}, 'meters': {'estimated_diameter_min': 2347.2263753125, 'estimated_diameter_max': 5248.5577337793}, 'miles': {'estimated_diameter_min': 1.4584984001, 'estimated_diameter_max': 3.2613015676}, 'feet': {'estimated_diameter_min': 7700.8741811804, 'estimated_diameter_max': 17219.6781552924}}",15.27,1620
2001627,1627 Ivar (1929 SH),"{'kilometers': {'estimated_diameter_min': 7.2202955766, 'estimated_diameter_max': 16.1450717269}, 'meters': {'estimated_diameter_min': 7220.2955765743, 'estimated_diameter_max': 16145.0717268611}, 'miles': {'estimated_diameter_min': 4.4864822827, 'estimated_diameter_max': 10.032079364}, 'feet': {'estimated_diameter_min': 23688.634539448, 'estimated_diameter_max': 52969.3971243551}}",12.83,1627
2001685,1685 Toro (1948 OA),"{'kilometers': {'estimated_diameter_min': 3.7030107822, 'estimated_diameter_max': 8.2801838305}, 'meters': {'estimated_diameter_min': 3703.0107822286, 'estimated_diameter_max': 8280.1838304779}, 'miles': {'estimated_diameter_min': 2.3009435128, 'estimated_diameter_max': 5.1450661069}, 'feet': {'estimated_diameter_min': 12148.9858947669, 'estimated_diameter_max': 27165.958318385}}",14.28,1685
2001862,1862 Apollo (1932 HA),"{'kilometers': {'estimated_diameter_min': 1.6164228334, 'estimated_diameter_max': 3.6144313359}, 'meters': {'estimated_diameter_min': 1616.4228333988, 'estimated_diameter_max': 3614.4313358626}, 'miles': {'estimated_diameter_min': 1.0043982724, 'estimated_diameter_max': 2.2459028136}, 'feet': {'estimated_diameter_min': 5303.2246887282, 'estimated_diameter_max': 11858.3709039515}}",16.08,1862
2001863,1863 Antinous (1948 EA),"{'kilometers': {'estimated_diameter_min': 2.160503512, 'estimated_diameter_max': 4.8310327184}, 'meters': {'estimated_diameter_min': 2160.5035119642, 'estimated_diameter_max': 4831.0327183789}, 'miles': {'estimated_diameter_min': 1.3424742277, 'estimated_diameter_max': 3.0018636313}, 'feet': {'estimated_diameter_min': 7088.2663421925, 'estimated_diameter_max': 15849.8453837663}}",15.45,1863
2001864,1864 Daedalus (1971 FA),"{'kilometers': {'estimated_diameter_min': 2.8350124902, 'estimated_diameter_max': 6.3392806452}, 'meters': {'estimated_diameter_min': 2835.01249023, 'estimated_diameter_max': 6339.2806452153}, 'miles': {'estimated_diameter_min': 1.7615945461, 'estimated_diameter_max': 3.9390451538}, 'feet': {'estimated_diameter_min': 9301.2223784463, 'estimated_diameter_max': 20798.1655120482}}",14.86,1864
2001865,1865 Cerberus (1971 UA),"{'kilometers': {'estimated_diameter_min': 1.1656145947, 'estimated_diameter_max': 2.6063934693}, 'meters': {'estimated_diameter_min': 1165.6145946859, 'estimated_diameter_max': 2606.3934692836}, 'miles': {'estimated_diameter_min': 0.7242791063, 'estimated_diameter_max': 1.6195373164}, 'feet': {'estimated_diameter_min': 3824.1949868293, 'estimated_diameter_max': 8551.1599497643}}",16.79,1865
2001866,1866 Sisyphus (1972 XA),"{'kilometers': {'estimated_diameter_min': 8.4053340207, 'estimated_diameter_max': 18.7948982439}, 'meters': {'estimated_diameter_min': 8405.3340207276, 'estimated_diameter_max': 18794.8982439384}, 'miles': {'estimated_diameter_min': 5.2228308058, 'estimated_diameter_max': 11.6786047167}, 'feet': {'estimated_diameter_min': 27576.5560685638, 'estimated_diameter_max': 61663.053954643}}",12.5,1866
